# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1143-tab.txt
# Complete Data
# File Created: 17-Apr-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Jun Tian
# Core/Site:      ODP1143
# Latitude:       9.21.43N	( 9.36194)
# Longitude:      113.17.07E	( 113.2853)
# Water Depth(m): 2772
#
# Publications:
#   Tian J., P.X. Wang, X.R. Chen, Q.Y. Li. 2002. Astronomically tuned Plio-Pleistocene
#     benthic d18O records from South China Sea and Atlantic-Pacific comparison. Earth
#     and Planetary Science Letters, 203, issues 3-4, pp.1015-1029
#------------------
#
# Description & Notes:
#   South China Sea Benthic Foraminiferal Stable Isotope Data.
#   Cibicidoides wuellerstorfi studied were larger than 150 microns.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP1143
depth	yrBP 	d13Cc.wuell	d18Oc.wuell	
2060	323720	0.031	2.609	
2070	326400	-0.217	2.631	
2080	327900	-0.249	2.42	
2090	329400	-0.293	2.443	
2100	330900	-0.356	2.345	
2180	340342.6	-0.477	3.875	
2200	342490.2	-0.532	3.742	
2232	345926.2	-0.216	3.903	
2242	347000	-0.574	3.755	
2252	349500	-0.606	3.956	
2262	352000	-0.543	3.768	
2272	354500	-0.493	3.764	
2292	359500	-0.087	3.663	
2302	362000	-0.391	3.536	
2312	364500	0.056	3.821	
2322	367734.3	-0.221	3.647	
2332	370968.6	-0.3	3.466	
2342	374202.9	-0.364	3.448	
2352	380126.4	-0.248	3.617	
2366	389979.7	0.095	3.407	
2376	391245.1	-0.31	3.481	
2386	392510.7	-0.241	3.519	
2396	393776.1	0.253	3.434	
2406	395041.6	0.12	3.379	
2416	396307.1	-0.12	3.354	
2426	397572.6	0.117	3.261	
2436	398838.1	0.247	3.286	
2466	402634.5	0.177	2.587	
2476	403900	-0.046	2.437	
2486	405124.5	0.134	2.443	
2496	406349	0.124	2.546	
2506	407573.5	0.026	2.427	
2512	408308.2	-0.087	2.308	
2522	409532.6	-0.15	2.476	
2532	410484.1	-0.136	3.086	
2542	411318.5	-0.278	3.18	
2552	412153	-0.368	3.608	
2562	412987.4	-0.535	3.387	
2572	413821.8	-0.517	3.895	
2582	414656.3	-0.545	4.41	
2592	415490.7	-0.581	4.235	
2602	416325.2	-0.494	4.459	
2632	418828.5	-0.487	4.362	
2652	420497.3	-0.461	4.196	
2662	421331.8	-0.394	3.351	
2676	422500	-0.48	3.717	
2686	427385.7	-0.622	3.689	
2696	432271.4	-0.5	3.843	
2706	437157.1	-0.641	3.188	
2716	439800	-0.66	3.812	
2726	440200	-0.553	3.452	
2736	440600	-0.596	3.503	
2746	441000	-0.566	3.628	
2756	443933.3	-0.46	3.626	
2766	446866.7	-0.509	3.852	
2776	449800	-0.512	3.551	
2796	456628.5	-0.769	3.203	
2856	476180	0.011	3.223	
2866	477840	0.203	3.088	
2876	479500	0.2	2.914	
2886	481250	0.242	2.769	
2896	483000	0.063	2.9	
2926	488350	0.166	3.127	
2946	492050	-0.256	3.166	
2966	497933.3	0.073	2.901	
2976	501966.7	-0.073	2.991	
3006	512083.3	0.113	3.512	
3026	518166.6	0.273	3.35	
3036	521042.4	0.175	3.138	
3046	523254.5	0.266	3.204	
3056	525466.6	-0.044	3.25	
3066	527678.8	0	3.387	
3076	529890.9	-0.089	3.346	
3086	532103	-0.448	2.692	
3096	534315.1	-0.137	3.253	
3106	535862.1	-0.181	3.551	
3116	536965.5	-0.095	2.794	
3126	538069	-0.359	3.732	
3136	539172.4	-0.172	3.591	
3146	540275.9	-0.331	3.745	
3156	541379.3	-0.415	3.683	
3166	542482.8	0.007	3.939	
3176	543586.2	-0.364	3.576	
3186	544689.6	-0.284	3.737	
3196	545793.1	-0.349	3.593	
3216	548000	-0.318	3.306	
3226	549483.3	-0.05	3.495	
3246	552450	-0.311	3.039	
3266	555416.7	-0.219	3.232	
3276	556900	0.056	2.952	
3286	558675	0	3.016	
3316	564000	-0.196	3.072	
3326	572349.9	-0.441	2.877	
3336	580700	-0.36	3.425	
3346	582759.9	-0.334	3.418	
3356	584820	-0.218	3.539	
3366	586880	-0.406	3.488	
3376	588939.9	-0.375	3.5	
3386	591000	0.153	3.284	
3396	594266.6	-0.347	3.169	
3406	597533.4	-0.208	2.894	
3416	600800	-0.204	3.427	
3426	602600	-0.134	3.395	
3446	606200	-0.186	3.057	
3456	608000	-0.455	3.095	
3466	611319.9	-0.273	2.775	
3476	614639.9	-0.027	2.599	
3486	617960	0.077	2.946	
3496	621279.9	0.009	2.917	
3506	624600	-0.582	3.248	
3516	626766.6	-0.486	3.664	
3526	628933.2	-0.273	3.824	
3546	633266.6	-0.428	4.061	
3566	637600	-0.429	4.044	
3576	639766.6	-0.371	4.119	
3586	641933.3	-0.473	4.079	
3596	644100	-0.457	4.216	
3606	646266.7	-0.474	3.924	
3616	648433.3	-0.454	4.024	
3626	650600	-0.502	3.897	
3636	655900	-0.666	3.968	
3646	661200	-0.605	3.836	
3656	666500	-0.278	3.697	
3666	667600	-0.685	3.738	
3676	668700	-0.823	3.644	
3686	669800	-0.669	3.628	
3696	670900	-0.25	3.617	
3706	672000	-0.453	3.653	
3716	673871.4	-0.702	3.67	
3756	681357.2	-0.651	3.451	
3766	683228.6	-0.429	3.426	
3776	685100	-0.596	2.89	
3786	688900.1	-0.48	3.524	
3796	692700	-0.139	3.401	
3806	696500.1	-0.213	3.133	
3816	700300	-0.211	2.882	
3826	704100	0.211	3.143	
3846	711700	-0.261	3.036	
3856	712242.4	0.023	2.991	
3874	713218.7	-0.07	3.027	
3884	713761	-0.138	3.152	
3894	714303.4	-0.166	3.102	
3904	714845.8	-0.2	3.366	
3914	715388.1	-0.207	3.478	
3924	715930.5	-0.36	3.501	
3944	717015.3	-0.39	3.805	
3964	718100	-0.727	3.77	
3974	727180.2	-0.46	3.658	
3984	736260.1	-0.517	3.63	
3994	741114.3	-0.448	3.869	
4004	741742.9	0.087	3.736	
4014	742371.4	-0.218	3.778	
4024	743000	-0.184	3.555	
4034	744900	-0.253	3.3	
4044	746800	-0.577	3.577	
4054	751325.1	-0.584	3.814	
